"","tract","mean_value","var"
"117","48453001707",8.92444929029227,"PM2.5"
"118","48453001712",9.08604481790839,"PM2.5"
"119","48453001713",8.91928346774241,"PM2.5"
"120","48453001714",7.77247806141549,"PM2.5"
"121","48453001716",7.4823062181575,"PM2.5"
"122","48453001718",8.52857530532892,"PM2.5"
"123","48453001719",7.90144785656008,"PM2.5"
"124","48453001722",8.21069040881761,"PM2.5"
"125","48453001728",8.90845248774527,"PM2.5"
"126","48453001729",8.50347001590942,"PM2.5"
"127","48453001733",7.2699219549832,"PM2.5"
"128","48453001737",7.60768349370064,"PM2.5"
"129","48453001738",7.96432494959574,"PM2.5"
"130","48453001740",7.62865529545992,"PM2.5"
"131","48453001741",7.04845633848318,"PM2.5"
"132","48453001742",6.95321405586711,"PM2.5"
"133","48453001745",9.26652972200964,"PM2.5"
"134","48453001746",8.27009760539775,"PM2.5"
"135","48453001747",8.83131211845445,"PM2.5"
"136","48453001748",8.07253755739329,"PM2.5"
"137","48453001749",8.24876568800918,"PM2.5"
"138","48453001750",8.37256346300786,"PM2.5"
"139","48453001751",8.76738813732194,"PM2.5"
"140","48453001752",8.63810758256609,"PM2.5"
"141","48453001753",8.6492555486173,"PM2.5"
"142","48453001754",8.9126125190701,"PM2.5"
"143","48453001755",7.83759175397886,"PM2.5"
"144","48453001756",8.75991173060158,"PM2.5"
"145","48453001757",7.938537173312,"PM2.5"
"146","48453001760",7.05289602841787,"PM2.5"
"147","48453001761",7.39693808844637,"PM2.5"
"148","48453001764",6.76640996808171,"PM2.5"
"149","48453001765",7.39390713284783,"PM2.5"
"150","48453001766",6.73904272836456,"PM2.5"
"151","48453001768",6.71735848467809,"PM2.5"
"152","48453001769",7.60612966021796,"PM2.5"
"153","48453001770",7.44312187254223,"PM2.5"
"154","48453001771",7.18146901647425,"PM2.5"
"155","48453001772",8.3122748789422,"PM2.5"
"156","48453001773",7.0936130915119,"PM2.5"
"157","48453001774",7.99617508407981,"PM2.5"
"158","48453001775",7.59648500229405,"PM2.5"
"159","48453001776",8.35409430594687,"PM2.5"
"160","48453001777",8.00924713409632,"PM2.5"
"161","48453001778",7.32080101853142,"PM2.5"
"162","48453001779",6.81308662545968,"PM2.5"
"163","48453001780",7.03578623275402,"PM2.5"
